Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_BottomBoard_RC1A.sch
Date:,Wed 16 Jul 2014 18:13:17 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,346

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,D6,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
,,D7,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
,,D8,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
,,D9,1N4447,device:DIODE,Duo_Audio_HMI_RC1A:DO-35,
,,F1,FUSE,device:FUSE,Duo_Audio_HMI_RC1A:SM2920,
,,F2,FUSE,device:FUSE,Duo_Audio_HMI_RC1A:SM2920,
,,FB1,FB_150OHM800mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
,,FB2,FB_150OHM800mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
,,FB3,FB_150OHM800mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
,,FB4,FB_150OHM800mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
,,GNDA1,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA10,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA11,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA12,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA13,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA14,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA15,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA16,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA2,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA3,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA4,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA5,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
