Ref,Val,Package,PosX,PosY,Rot,Side
"J3","CB Adapter","DF12(3.0)-40DP-0.5V(86)",75.684380,-83.489880,0.000000,top
"J4","CB Adapter","DF12(3.0)-60DP-0.5V(86)",75.684380,-43.489880,0.000000,top
"K1","G6S-2","Relay_DPDT_Omron_G6S-2F",16.441420,-94.554040,0.000000,top
"K2","G6S-2","Relay_DPDT_Omron_G6S-2F",16.451580,-115.244880,0.000000,top
"L1","1mH","L_Bourns_SRR1260",132.740400,-30.500320,270.000000,top
"Q1","2N7002","SOT-23",20.441920,-84.782660,270.000000,top
"Q2","2N7002","SOT-23",20.457160,-105.448100,270.000000,top
"Q3","2N7002","SOT-23",35.313620,-18.173700,90.000000,top
"Q4","2N7002","SOT-23",39.039800,-18.092420,180.000000,top
"Q5","BSS84","SOT-23",107.718860,-14.902180,90.000000,top
"Q6","BSS84","SOT-23",121.175780,-17.205960,90.000000,top
"Q7","BSS84","SOT-23",12.232460,-69.341880,180.000000,top
"Q8","J110","SOT-23",26.690320,-81.169000,270.000000,top
"Q9","2N7002","SOT-23",124.104400,-96.314260,0.000000,top
"Q10","J110","SOT-23",121.894600,-101.988620,90.000000,top
"Q11","J110","SOT-23",116.199920,-101.981000,90.000000,top
"Q12","2N7002","SOT-23",117.307360,-96.311720,0.000000,top
"Q13","2N7002","SOT-23",127.576580,-122.316240,180.000000,top
"Q14","J110","SOT-23",122.031760,-121.226580,0.000000,top
"Q15","J110","SOT-23",115.201700,-124.442220,0.000000,top
"Q16","2N7002","SOT-23",127.574040,-125.956060,180.000000,top
"Q17","J110","SOT-23",30.512980,-81.185260,270.000000,top
"Q18","BSS84","SOT-23",118.932460,-76.941880,270.000000,top
"R1","10k","R_0603_1608Metric",126.710440,-96.154340,90.000000,top
"R2","10k","R_0603_1608Metric",113.438940,-97.030540,0.000000,top
"R3","10k","R_0603_1608Metric",130.159760,-122.471180,270.000000,top
"R4","10k","R_0603_1608Metric",130.162300,-126.126240,270.000000,top
"R5","100k","R_0603_1608Metric",121.429780,-98.376840,90.000000,top
"R6","10k","R_0603_1608Metric",87.731500,-116.880640,180.000000,top
"R7","10k","R_0603_1608Metric",88.519000,-114.416840,90.000000,top
"R8","10k","R_0603_1608Metric",90.957300,-112.074960,0.000000,top
"R9","22R","R_0603_1608Metric",91.744800,-114.416840,90.000000,top
"R10","22R","R_0603_1608Metric",90.139520,-114.416840,90.000000,top
"R11","22R","R_0603_1608Metric",99.689920,-109.888020,90.000000,top
"R12","22R","R_0603_1608Metric",98.877120,-113.052860,90.000000,top
"R13","22R","R_0603_1608Metric",96.453960,-109.893100,90.000000,top
"R14","22R","R_0603_1608Metric",97.256600,-113.052860,90.000000,top
"R15","22R","R_0603_1608Metric",98.071940,-109.893100,90.000000,top
"R16","10k","R_0603_1608Metric",63.141960,-43.997880,0.000000,top
"R17","10k","R_0603_1608Metric",7.182460,-47.191880,180.000000,top
"R18","1M","R_0603_1608Metric",124.576840,-102.201980,270.000000,top
"R19","22R","R_0603_1608Metric",94.198440,-107.660440,90.000000,top
"R20","2k7","R_0603_1608Metric",69.979540,-33.901380,90.000000,top
"R21","2k7","R_0603_1608Metric",68.089780,-33.901380,90.000000,top
